Cohort,Strategy,Type,N,TP,TN,FP,FN,Sensitivity,Sensitivity_CI_Lower,Sensitivity_CI_Upper,Specificity,Specificity_CI_Lower,Specificity_CI_Upper,PPV,PPV_CI_Lower,PPV_CI_Upper,NPV,NPV_CI_Lower,NPV_CI_Upper,Accuracy,Accuracy_CI_Lower,Accuracy_CI_Upper,Prevalence,Positive_Rate,Referrals_Avoided
InternalTest,Single: M1 (Radiomics-Only),Single,51,17,18,11,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.6206896551724138,0.4400254420598852,0.7731197789919015,0.6071428571428571,0.42409044296597176,0.764343134584204,0.782608695652174,0.5809651698373599,0.9033602197341379,0.6862745098039216,0.5497300046930566,0.7967232153447456,0.43137254901960786,0.5490196078431373,
InternalTest,Single: M2 (Radiomics+A),Single,51,17,22,7,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.7586206896551724,0.5789239838218867,0.8778157755747991,0.7083333333333334,0.5083230633550337,0.8508535180303913,0.8148148148148148,0.6330131638145156,0.9181929285702346,0.7647058823529411,0.632377748398347,0.8599505116553716,0.43137254901960786,0.47058823529411764,
InternalTest,Single: M3 (Fusion-Net),Single,51,19,23,6,3,0.8636363636363636,0.6666501283342828,0.9525099628594474,0.7931034482758621,0.6160990959613211,0.9015392980215897,0.76,0.5657031664457093,0.8850368630659855,0.8846153846153846,0.7102409678828635,0.9599675537638938,0.8235294117647058,0.6974585747569192,0.9042759653087368,0.43137254901960786,0.49019607843137253,
InternalTest,Single: M4 (Clinical-A),Single,51,15,21,8,7,0.6818181818181818,0.47318597741042745,0.8363940681864375,0.7241379310344828,0.5428286758313405,0.8530124489791204,0.6521739130434783,0.44890335377263,0.8118872406120227,0.75,0.5664432968100104,0.8732350508070668,0.7058823529411765,0.5700092442431359,0.8129127357986454,0.43137254901960786,0.45098039215686275,
InternalTest,Single: M5 (Clinical-Net),Single,51,17,16,13,5,0.7727272727272727,0.5656004682477829,0.8987696001475147,0.5517241379310345,0.37547963210970914,0.7158683197696281,0.5666666666666667,0.3919730700081361,0.7262251442353347,0.7619047619047619,0.5490882631704924,0.8937198697736354,0.6470588235294118,0.5098605845450523,0.7636551154847915,0.43137254901960786,0.5882352941176471,
InternalTest,stepwise1 (M4->M1),Stepwise,51,12,27,2,10,0.5454545454545454,0.3465979532073493,0.7307970581918668,0.9310344827586207,0.7803541984972431,0.9808787338305667,0.8571428571428571,0.6005862050302965,0.9599060787285351,0.7297297297297297,0.5702183167528573,0.8460253848895091,0.7647058823529411,0.632377748398347,0.8599505116553716,0.43137254901960786,0.27450980392156865,0.5490196078431373
InternalTest,stepwise2 (M5->M1),Stepwise,51,14,25,4,8,0.6363636363636364,0.4295170809013101,0.8026679532963388,0.8620689655172413,0.6944100627964798,0.9450256003588804,0.7777777777777778,0.5478541568378739,0.9099907189139831,0.7575757575757576,0.5897538017044264,0.8716828662282499,0.7647058823529411,0.632377748398347,0.8599505116553716,0.43137254901960786,0.35294117647058826,0.4117647058823529
InternalTest,stepwise3 (M5->M2),Stepwise,51,14,26,3,8,0.6363636363636364,0.4295170809013101,0.8026679532963388,0.896551724137931,0.736149189092262,0.9641851086493229,0.8235294117647058,0.5897054143116588,0.9380887336237901,0.7647058823529411,0.6000386207746361,0.8756301446736042,0.7843137254901961,0.6537364041400255,0.8750606159176724,0.43137254901960786,0.3333333333333333,0.4117647058823529
InternalTest,stepwise4 (M4->M3),Stepwise,51,14,25,4,8,0.6363636363636364,0.4295170809013101,0.8026679532963388,0.8620689655172413,0.6944100627964798,0.9450256003588804,0.7777777777777778,0.5478541568378739,0.9099907189139831,0.7575757575757576,0.5897538017044264,0.8716828662282499,0.7647058823529411,0.632377748398347,0.8599505116553716,0.43137254901960786,0.35294117647058826,0.5490196078431373
InternalTest,stepwise5 (M5->M3),Stepwise,51,15,26,3,7,0.6818181818181818,0.47318597741042745,0.8363940681864375,0.896551724137931,0.736149189092262,0.9641851086493229,0.8333333333333334,0.6077796189608428,0.9416342319413856,0.7878787878787878,0.6224835500784931,0.8932397846697919,0.803921568627451,0.6754192051863439,0.889846574875333,0.43137254901960786,0.35294117647058826,0.4117647058823529
ProspectiveTest,Single: M1 (Radiomics-Only),Single,100,29,43,18,10,0.7435897435897436,0.5891834407831603,0.8543121945900741,0.7049180327868853,0.5811059794277964,0.8044498124172395,0.6170212765957447,0.47426566956413574,0.7420931890357799,0.8113207547169812,0.6864154091329746,0.8941467489231409,0.72,0.6251197129007884,0.7986031478881379,0.39,0.47,
ProspectiveTest,Single: M2 (Radiomics+A),Single,100,29,49,12,10,0.7435897435897436,0.5891834407831603,0.8543121945900741,0.8032786885245902,0.6869005942449246,0.8837219776857282,0.7073170731707317,0.5552053227700284,0.8239081237388657,0.8305084745762712,0.71536779263512,0.9052416065081895,0.78,0.6892964648501421,0.8499871761539459,0.39,0.41,
ProspectiveTest,Single: M3 (Fusion-Net),Single,100,32,49,12,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.8032786885245902,0.6869005942449246,0.8837219776857282,0.7272727272727273,0.5815112690754881,0.8365361837615662,0.875,0.7637452344180986,0.9381093130428289,0.81,0.7222115462093562,0.8748524849023126,0.39,0.44,
ProspectiveTest,Single: M4 (Clinical-A),Single,100,32,36,25,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5901639344262295,0.46499792273006924,0.7046466256817464,0.5614035087719298,0.43278009454231503,0.6822730310020559,0.8372093023255814,0.7002759410625283,0.91883372652938,0.68,0.5833738138954762,0.7633085267500092,0.39,0.57,
ProspectiveTest,Single: M5 (Clinical-Net),Single,100,32,34,27,7,0.8205128205128205,0.6733195433811838,0.9102273452678089,0.5573770491803278,0.4330336769314388,0.6749219447851712,0.5423728813559322,0.41657836610103466,0.6629869414814409,0.8292682926829268,0.6873738759959581,0.91474748022405,0.66,0.5627772885472463,0.7453847920265183,0.39,0.59,
ProspectiveTest,stepwise1 (M4->M1),Stepwise,100,25,53,8,14,0.6410256410256411,0.4841814855954854,0.7725791454100714,0.8688524590163934,0.7619811980700654,0.932019227250999,0.7575757575757576,0.5897538017044264,0.8716828662282499,0.7910447761194029,0.6792819349311752,0.8712431481097087,0.78,0.6892964648501421,0.8499871761539459,0.39,0.33,0.43
ProspectiveTest,stepwise2 (M5->M1),Stepwise,100,26,54,7,13,0.6666666666666666,0.5097739439934599,0.7936704381040163,0.8852459016393442,0.7815569152759893,0.9432879733926779,0.7878787878787878,0.6224835500784931,0.8932397846697919,0.8059701492537313,0.695808877745558,0.8829482608358841,0.8,0.7111708344068411,0.8666330666689676,0.39,0.33,0.41
ProspectiveTest,stepwise3 (M5->M2),Stepwise,100,25,56,5,14,0.6410256410256411,0.4841814855954854,0.7725791454100714,0.9180327868852459,0.8220533819707465,0.9644804333931265,0.8333333333333334,0.6643564949358397,0.9266345762815146,0.8,0.6918335550374695,0.8769526075163705,0.81,0.7222115462093562,0.8748524849023126,0.39,0.3,0.41
ProspectiveTest,stepwise4 (M4->M3),Stepwise,100,27,52,9,12,0.6923076923076923,0.5357874562585069,0.8143406769308886,0.8524590163934426,0.742767647052789,0.9203883149206723,0.75,0.5892954623327166,0.8624952233700517,0.8125,0.7002563943589847,0.8893535682705119,0.79,0.7002003116591013,0.858343459380847,0.39,0.36,0.43
ProspectiveTest,stepwise5 (M5->M3),Stepwise,100,27,52,9,12,0.6923076923076923,0.5357874562585069,0.8143406769308886,0.8524590163934426,0.742767647052789,0.9203883149206723,0.75,0.5892954623327166,0.8624952233700517,0.8125,0.7002563943589847,0.8893535682705119,0.79,0.7002003116591013,0.858343459380847,0.39,0.36,0.41
